goos: darwin
goarch: arm64
pkg: github.com/RSheremeta/gob-serialization
BenchmarkEncodeSingle/type=GOB_struct_size=tiny-10         	 1146312	      1037 ns/op	    1136 B/op	      20 allocs/op
BenchmarkEncodeSingle/type=JSON_struct_size=tiny-10        	11647294	       101.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkEncodeSingle/type=XML_struct_size=tiny-10         	 1247809	       960.3 ns/op	    4560 B/op	       9 allocs/op
BenchmarkEncodeSingle/type=YAML_struct_size=tiny-10        	  404588	      2924 ns/op	    6776 B/op	      23 allocs/op
BenchmarkEncodeSingle/type=GOB_struct_size=medium-10       	  420466	      2786 ns/op	    1720 B/op	      38 allocs/op
BenchmarkEncodeSingle/type=JSON_struct_size=medium-10      	 1995039	       611.5 ns/op	     240 B/op	       2 allocs/op
BenchmarkEncodeSingle/type=XML_struct_size=medium-10       	  409347	      2731 ns/op	    5053 B/op	      14 allocs/op
BenchmarkEncodeSingle/type=YAML_struct_size=medium-10      	  132667	      8870 ns/op	   17112 B/op	      56 allocs/op
BenchmarkEncodeSingle/type=GOB_struct_size=big-10          	  227510	      5232 ns/op	    3072 B/op	      65 allocs/op
BenchmarkEncodeSingle/type=JSON_struct_size=big-10         	  461298	      2522 ns/op	     944 B/op	       6 allocs/op
BenchmarkEncodeSingle/type=XML_struct_size=big-10          	  127340	      9153 ns/op	    6034 B/op	      21 allocs/op
BenchmarkEncodeSingle/type=YAML_struct_size=big-10         	   33507	     34729 ns/op	   80288 B/op	     176 allocs/op
BenchmarkEncodeSingle/type=GOB_struct_size=huge-10         	     224	   5244342 ns/op	 7035920 B/op	   44617 allocs/op
BenchmarkEncodeSingle/type=JSON_struct_size=huge-10        	      62	  17295433 ns/op	 6592181 B/op	   39871 allocs/op
BenchmarkEncodeSingle/type=XML_struct_size=huge-10         	      14	  78271318 ns/op	19909926 B/op	   97568 allocs/op
BenchmarkEncodeSingle/type=YAML_struct_size=huge-10        	       4	 298569250 ns/op	845118380 B/op	 1215044 allocs/op
BenchmarkDecodeSingle/type=GOB_struct_size=tiny-10         	  132409	      9390 ns/op	    6760 B/op	     179 allocs/op
BenchmarkDecodeSingle/type=JSON_struct_size=tiny-10        	 2591954	       461.0 ns/op	     248 B/op	       6 allocs/op
BenchmarkDecodeSingle/type=XML_struct_size=tiny-10         	  627777	      1931 ns/op	    1480 B/op	      33 allocs/op
BenchmarkDecodeSingle/type=YAML_struct_size=tiny-10        	  263422	      4338 ns/op	    7280 B/op	      52 allocs/op
BenchmarkDecodeSingle/type=GOB_struct_size=medium-10       	   92902	     12639 ns/op	    8604 B/op	     235 allocs/op
BenchmarkDecodeSingle/type=JSON_struct_size=medium-10      	  646796	      1797 ns/op	     440 B/op	      14 allocs/op
BenchmarkDecodeSingle/type=XML_struct_size=medium-10       	  135865	      9034 ns/op	    3608 B/op	      92 allocs/op
BenchmarkDecodeSingle/type=YAML_struct_size=medium-10      	  101642	     11995 ns/op	   10724 B/op	     126 allocs/op
BenchmarkDecodeSingle/type=GOB_struct_size=big-10          	   69265	     17420 ns/op	   11557 B/op	     324 allocs/op
BenchmarkDecodeSingle/type=JSON_struct_size=big-10         	  194416	      6186 ns/op	    1080 B/op	      32 allocs/op
BenchmarkDecodeSingle/type=XML_struct_size=big-10          	   37994	     31857 ns/op	   10376 B/op	     280 allocs/op
BenchmarkDecodeSingle/type=YAML_struct_size=huge-10        	   29328	     40508 ns/op	   23081 B/op	     386 allocs/op
BenchmarkDecodeSingle/type=GOB_struct_size=huge-10         	     277	   4408610 ns/op	 4108664 B/op	   71653 allocs/op
BenchmarkDecodeSingle/type=JSON_struct_size=huge-10        	      27	  42904093 ns/op	12024463 B/op	  120170 allocs/op
BenchmarkDecodeSingle/type=XML_struct_size=huge-10         	       5	 224652383 ns/op	74270280 B/op	 1836139 allocs/op
BenchmarkDecodeSingle/type=YAML_struct_size=huge#01-10     	       4	 280739250 ns/op	121876510 B/op	 2425871 allocs/op
